step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.306381,0.311928,0.022694,0.000200
10,0.143743,0.097401,0.098207,0.042909,0.000195
20,0.077031,0.069455,0.073140,0.031637,0.000182
30,0.063475,0.066248,0.060454,0.030284,0.000161
40,0.052434,0.069920,0.052023,0.025057,0.000134
50,0.048184,0.053770,0.048904,0.029992,0.000105
60,0.045504,0.041179,0.047413,0.028089,0.000076
70,0.049480,0.045953,0.054460,0.026514,0.000049
80,0.048836,0.048241,0.053611,0.026507,0.000028
90,0.046513,0.045427,0.042998,0.028467,0.000015
100,0.046736,0.050612,0.047079,0.026952,0.000010
