step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.273764,0.277290,0.021421,0.000200
10,0.193796,0.092416,0.104263,0.065475,0.000195
20,0.078717,0.055227,0.055697,0.059987,0.000182
30,0.061373,0.045861,0.052009,0.080862,0.000161
40,0.052189,0.045930,0.043657,0.088207,0.000134
50,0.046140,0.046581,0.038823,0.094388,0.000105
60,0.042416,0.033954,0.037408,0.092467,0.000076
70,0.041806,0.032580,0.039615,0.097494,0.000049
80,0.041656,0.034895,0.039673,0.098819,0.000028
90,0.043631,0.036594,0.036461,0.099020,0.000015
100,0.037484,0.032789,0.036430,0.100652,0.000010
