step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.273764,0.277290,0.021421,0.000200
10,0.184800,0.098040,0.110336,0.060035,0.000195
20,0.076502,0.078800,0.064137,0.047528,0.000182
30,0.059290,0.043907,0.050106,0.057293,0.000161
40,0.050982,0.049561,0.038961,0.049724,0.000134
50,0.047519,0.036350,0.043032,0.050240,0.000105
60,0.048340,0.033579,0.036348,0.047160,0.000076
70,0.045184,0.030038,0.035368,0.046479,0.000049
80,0.041405,0.037203,0.036068,0.047898,0.000028
90,0.040314,0.035143,0.036525,0.045911,0.000015
100,0.039516,0.026355,0.034722,0.045831,0.000010
