step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.306381,0.311928,0.022694,0.000200
10,0.176733,0.085927,0.094570,0.064083,0.000195
20,0.079955,0.073334,0.068865,0.070854,0.000182
30,0.064460,0.059659,0.058141,0.072093,0.000161
40,0.063978,0.043451,0.053710,0.084378,0.000134
50,0.052702,0.043766,0.046823,0.080842,0.000105
60,0.049416,0.044365,0.044112,0.089319,0.000076
70,0.049785,0.042553,0.050563,0.092208,0.000049
80,0.048881,0.037326,0.048516,0.093564,0.000028
90,0.047588,0.047145,0.048076,0.092040,0.000015
100,0.047321,0.033845,0.051577,0.093109,0.000010
