step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.306381,0.311928,0.022694,0.000200
10,0.166644,0.103068,0.091488,0.060099,0.000195
20,0.084210,0.067501,0.071369,0.055568,0.000182
30,0.066878,0.060982,0.058744,0.047827,0.000161
40,0.056621,0.043483,0.049875,0.048444,0.000134
50,0.054274,0.064801,0.045980,0.048499,0.000105
60,0.053116,0.044695,0.051105,0.043639,0.000076
70,0.044011,0.052344,0.049522,0.045244,0.000049
80,0.051015,0.054302,0.044396,0.041944,0.000028
90,0.048069,0.048957,0.046447,0.042711,0.000015
100,0.050709,0.056175,0.040957,0.042583,0.000010
