step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.273764,0.277290,0.021421,0.000200
10,0.169448,0.094245,0.093590,0.056241,0.000195
20,0.080906,0.062890,0.062278,0.042451,0.000182
30,0.065645,0.046708,0.049160,0.046046,0.000161
40,0.055172,0.044169,0.042655,0.045146,0.000134
50,0.047000,0.041787,0.040913,0.042684,0.000105
60,0.049194,0.049348,0.043516,0.037828,0.000076
70,0.040989,0.032836,0.040957,0.040202,0.000049
80,0.046298,0.043177,0.036224,0.038174,0.000028
90,0.042485,0.037384,0.035839,0.037407,0.000015
100,0.043055,0.027638,0.033487,0.037213,0.000010
