step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.165660,0.150028,0.019509,0.000200
10,0.075036,0.069777,0.050680,0.025731,0.000195
20,0.043859,0.036688,0.039448,0.025590,0.000182
30,0.041376,0.042211,0.033990,0.023323,0.000161
40,0.038932,0.035515,0.034366,0.027378,0.000134
50,0.033762,0.035494,0.027315,0.024550,0.000105
60,0.029415,0.031141,0.032682,0.024491,0.000076
70,0.031256,0.025196,0.025956,0.023109,0.000049
80,0.034052,0.030115,0.026750,0.024184,0.000028
90,0.032893,0.027511,0.023991,0.024657,0.000015
100,0.031883,0.032246,0.025431,0.021493,0.000010
