step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.306381,0.311928,0.022694,0.000200
10,0.163067,0.098091,0.103844,0.058012,0.000195
20,0.078910,0.065613,0.070052,0.049420,0.000182
30,0.061861,0.063659,0.058434,0.039390,0.000161
40,0.062292,0.056429,0.056339,0.039801,0.000134
50,0.054323,0.046981,0.047835,0.037730,0.000105
60,0.050452,0.051373,0.047113,0.037096,0.000076
70,0.047054,0.051935,0.047304,0.037442,0.000049
80,0.050724,0.049535,0.045270,0.037099,0.000028
90,0.054282,0.044792,0.053460,0.038537,0.000015
100,0.048548,0.036471,0.046201,0.036689,0.000010
