step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.165660,0.150028,0.019509,0.000200
10,0.081969,0.050817,0.055371,0.037683,0.000195
20,0.055840,0.046494,0.036334,0.028420,0.000182
30,0.042461,0.034654,0.035976,0.028635,0.000161
40,0.035641,0.029309,0.033287,0.029994,0.000134
50,0.033697,0.029089,0.032443,0.030277,0.000105
60,0.032625,0.024806,0.027773,0.028415,0.000076
70,0.032812,0.027539,0.026185,0.025105,0.000049
80,0.033537,0.033730,0.023312,0.028883,0.000028
90,0.028223,0.029694,0.025775,0.025962,0.000015
100,0.032985,0.040263,0.025164,0.026893,0.000010
