step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.165660,0.150028,0.019509,0.000200
10,0.091625,0.057372,0.046869,0.043749,0.000195
20,0.052146,0.037598,0.036504,0.035997,0.000182
30,0.042599,0.042289,0.034993,0.038911,0.000161
40,0.039184,0.032383,0.030460,0.041452,0.000134
50,0.034981,0.028350,0.029080,0.047259,0.000105
60,0.027537,0.031214,0.029769,0.049168,0.000076
70,0.029037,0.025198,0.023633,0.046453,0.000049
80,0.032158,0.022618,0.027787,0.046869,0.000028
90,0.030050,0.050403,0.022424,0.049458,0.000015
100,0.032641,0.023132,0.027476,0.052553,0.000010
