step,train_loss,fit_val_loss,fit_train_loss,forget_val_loss,lr
0,nan,0.302442,0.309666,0.019431,0.000200
10,0.164969,0.097249,0.097396,0.046287,0.000105
20,0.087485,0.100520,0.084128,0.045486,0.000010
